Utterance,Intent
Tell me my zodiac sign,get_Zodiac_Sign
What is my zodiac sign?,get_Zodiac_Sign
Find my zodiac sign,get_Zodiac_Sign
Predict my zodiac sign,get_Zodiac_Sign
Can you tell me my zodiac sign?,get_Zodiac_Sign
Determine my zodiac sign,get_Zodiac_Sign
Calculate my zodiac sign,get_Zodiac_Sign
Find my birth sign,get_Zodiac_Sign
What is my birth sign?,get_Zodiac_Sign
What's my star sign?,get_Zodiac_Sign
Can you calculate my horoscope sign?,get_Zodiac_Sign
I want to know my zodiac sign,get_Zodiac_Sign
Help me find my zodiac sign,get_Zodiac_Sign
Identify my zodiac sign,get_Zodiac_Sign
Check my zodiac,get_Zodiac_Sign
What zodiac am I?,get_Zodiac_Sign
Tell me my sun sign,get_Zodiac_Sign
Find my horoscope sign,get_Zodiac_Sign
Can you identify my zodiac?,get_Zodiac_Sign
Know my zodiac sign,get_Zodiac_Sign
What's my zodiac,get_Zodiac_Sign
zodiac sign please,get_Zodiac_Sign
can u tell me my zodiac sign,get_Zodiac_Sign
wat is my star sign,get_Zodiac_Sign
tell my rashi,get_Zodiac_Sign
what's my rashi,get_Zodiac_Sign
batao mera zodiac sign kya hai,get_Zodiac_Sign
mera rashi kya hai,get_Zodiac_Sign
yo what's my zodiac sign,get_Zodiac_Sign
hey can you figure out my zodiac sign,get_Zodiac_Sign
I'd like to know what my zodiac sign is,get_Zodiac_Sign
"just curious, what's my zodiac sign?",get_Zodiac_Sign
"not sure what my zodiac is, can you check?",get_Zodiac_Sign
please tell me my zodiac sign,get_Zodiac_Sign
could you find out my star sign,get_Zodiac_Sign
"I forgot my zodiac sign, can you help?",get_Zodiac_Sign
give me my horoscope sign,get_Zodiac_Sign
what horoscope sign do I fall under,get_Zodiac_Sign
what's my astrology sign,get_Zodiac_Sign
tell me what my astrological sign is,get_Zodiac_Sign
figure out my zodiac for me,get_Zodiac_Sign
can you work out my zodiac sign,get_Zodiac_Sign
I need my zodiac sign asap,get_Zodiac_Sign
reveal my zodiac sign,get_Zodiac_Sign
what constellation am I born under,get_Zodiac_Sign
which zodiac sign do I belong to,get_Zodiac_Sign
so what's my actual zodiac sign,get_Zodiac_Sign
tell me which sign I am,get_Zodiac_Sign
"help, what's my zodiac?",get_Zodiac_Sign
"quick, what's my star sign",get_Zodiac_Sign
can u check my horoscope sign,get_Zodiac_Sign
"I keep forgetting my zodiac sign, remind me",get_Zodiac_Sign
what's my sun sign called,get_Zodiac_Sign
please calculate my star sign,get_Zodiac_Sign
wanna know my zodiac sign,get_Zodiac_Sign
my zodiac sign is what exactly?,get_Zodiac_Sign
hmm what would my zodiac sign be,get_Zodiac_Sign
tell me the zodiac sign I was born under,get_Zodiac_Sign
"I was born on 7th January 2010, what's my zodiac sign?",get_Zodiac_Sign
"My birthday is 17/4/1995, tell me my zodiac",get_Zodiac_Sign
"Born 9th-12-1990, what's my zodiac sign?",get_Zodiac_Sign
"February 2, 2005 - what zodiac sign is that?",get_Zodiac_Sign
Find zodiac sign for someone born on 27th January 1988,get_Zodiac_Sign
What sign is a person born 1995-04-05,get_Zodiac_Sign
I was born 31st October 1988,get_Zodiac_Sign
"My date of birth is 2 April 2010, what's my sign?",get_Zodiac_Sign
born on July 2nd 1995,get_Zodiac_Sign
DOB: 29th/10/1997 — zodiac?,get_Zodiac_Sign
"If someone is born on 1 March 2010, what's their zodiac sign?",get_Zodiac_Sign
"My birth date is 27th June 1997, can you tell my zodiac?",get_Zodiac_Sign
"I came into this world on 9 April, 1999",get_Zodiac_Sign
"So I was born 7th February 2000, sign please",get_Zodiac_Sign
Tell me the zodiac sign for 7 June 1999,get_Zodiac_Sign
Zodiac sign for a baby born on 6th May 1988?,get_Zodiac_Sign
"29 September 1990 is my birthday, what zodiac am I",get_Zodiac_Sign
"My birthdate: February 25, 2003. What's my zodiac sign?",get_Zodiac_Sign
"Was born 19th 11 2005, curious about my sign",get_Zodiac_Sign
"on 23rd October 1995 I was born, what's my astrology sign",get_Zodiac_Sign
"I was born on 5 January 2007, what's my zodiac sign?",get_Zodiac_Sign
"My birthday is 15/5/1990, tell me my zodiac",get_Zodiac_Sign
"Born 15-2-2000, what's my zodiac sign?",get_Zodiac_Sign
"August 17, 2007 - what zodiac sign is that?",get_Zodiac_Sign
Find zodiac sign for someone born on 23 March 1999,get_Zodiac_Sign
What sign is a person born 2007-04-23,get_Zodiac_Sign
I was born 17 December 2007,get_Zodiac_Sign
"My date of birth is 5 October 2007, what's my sign?",get_Zodiac_Sign
born on September 11 2010,get_Zodiac_Sign
DOB: 15/3/2001 — zodiac?,get_Zodiac_Sign
"If someone is born on 25 May 2007, what's their zodiac sign?",get_Zodiac_Sign
"My birth date is 2th April 2007, can you tell my zodiac?",get_Zodiac_Sign
"I came into this world on 21 January, 1995",get_Zodiac_Sign
"So I was born 3 June 2000, sign please",get_Zodiac_Sign
Tell me the zodiac sign for 17 February 1995,get_Zodiac_Sign
Zodiac sign for a baby born on 4 December 1999?,get_Zodiac_Sign
"13 November 2001 is my birthday, what zodiac am I",get_Zodiac_Sign
"My birthdate: November 25, 2001. What's my zodiac sign?",get_Zodiac_Sign
"Was born 9 5 1992, curious about my sign",get_Zodiac_Sign
"on 15 December 2003 I was born, what's my astrology sign",get_Zodiac_Sign
"I was born on 2 May 2010, what's my zodiac sign?",get_Zodiac_Sign
"My birthday is 4/7/2005, tell me my zodiac",get_Zodiac_Sign
"Born 25-6-1995, what's my zodiac sign?",get_Zodiac_Sign
"September 9, 2001 - what zodiac sign is that?",get_Zodiac_Sign
Find zodiac sign for someone born on 5 January 1990,get_Zodiac_Sign
What sign is a person born 1992-11-09,get_Zodiac_Sign
I was born 27 October 1990,get_Zodiac_Sign
"My date of birth is 25 July 2005, what's my sign?",get_Zodiac_Sign
born on September 29 1997,get_Zodiac_Sign
DOB: 2/1/2007 — zodiac?,get_Zodiac_Sign
"If someone is born on 7 November 2003, what's their zodiac sign?",get_Zodiac_Sign
"My birth date is 17th November 1999, can you tell my zodiac?",get_Zodiac_Sign
"I came into this world on 7 May, 2000",get_Zodiac_Sign
"So I was born 11 August 1988, sign please",get_Zodiac_Sign
Tell me the zodiac sign for 17 September 1992,get_Zodiac_Sign
Zodiac sign for a baby born on 31 February 2007?,get_Zodiac_Sign
"19 November 2003 is my birthday, what zodiac am I",get_Zodiac_Sign
"My birthdate: April 6, 1992. What's my zodiac sign?",get_Zodiac_Sign
"Was born 23 3 2003, curious about my sign",get_Zodiac_Sign
"on 31 January 2005 I was born, what's my astrology sign",get_Zodiac_Sign
"I was born on 21 August 1988, what's my zodiac sign?",get_Zodiac_Sign
"My birthday is 7/6/1997, tell me my zodiac",get_Zodiac_Sign
"Born 15-1-1995, what's my zodiac sign?",get_Zodiac_Sign
"February 4, 1990 - what zodiac sign is that?",get_Zodiac_Sign
Find zodiac sign for someone born on 30 February 2003,get_Zodiac_Sign
What sign is a person born 2007-03-09,get_Zodiac_Sign
I was born 30 September 1992,get_Zodiac_Sign
"My date of birth is 17 September 2005, what's my sign?",get_Zodiac_Sign
born on April 27 2003,get_Zodiac_Sign
DOB: 13/12/1997 — zodiac?,get_Zodiac_Sign
"If someone is born on 25 November 2007, what's their zodiac sign?",get_Zodiac_Sign
"My birth date is 23th August 2003, can you tell my zodiac?",get_Zodiac_Sign
"I came into this world on 29 February, 1995",get_Zodiac_Sign
"So I was born 15 February 1999, sign please",get_Zodiac_Sign
Tell me the zodiac sign for 1 October 2003,get_Zodiac_Sign
Zodiac sign for a baby born on 15 October 1995?,get_Zodiac_Sign
"1 February 2010 is my birthday, what zodiac am I",get_Zodiac_Sign
"My birthdate: April 3, 1990. What's my zodiac sign?",get_Zodiac_Sign
"Was born 3 6 1990, curious about my sign",get_Zodiac_Sign
"on 31 April 1997 I was born, what's my astrology sign",get_Zodiac_Sign
"I was born on 30 April 2003, what's my zodiac sign?",get_Zodiac_Sign
"My birthday is 9/12/2005, tell me my zodiac",get_Zodiac_Sign
"Born 4-8-1995, what's my zodiac sign?",get_Zodiac_Sign
"July 30, 1995 - what zodiac sign is that?",get_Zodiac_Sign
Find zodiac sign for someone born on 7 February 2007,get_Zodiac_Sign
What sign is a person born 2000-06-27,get_Zodiac_Sign
I was born 27 August 2010,get_Zodiac_Sign
"My date of birth is 3 November 2007, what's my sign?",get_Zodiac_Sign
born on January 7 2000,get_Zodiac_Sign
DOB: 21/2/1995 — zodiac?,get_Zodiac_Sign
"If someone is born on 13 April 2003, what's their zodiac sign?",get_Zodiac_Sign
"My birth date is 29th March 2000, can you tell my zodiac?",get_Zodiac_Sign
"I came into this world on 11 May, 2001",get_Zodiac_Sign
"So I was born 15 February 2001, sign please",get_Zodiac_Sign
Tell me the zodiac sign for 2 February 1988,get_Zodiac_Sign
Zodiac sign for a baby born on 2 January 1990?,get_Zodiac_Sign
"15 March 2000 is my birthday, what zodiac am I",get_Zodiac_Sign
"My birthdate: August 30, 1995. What's my zodiac sign?",get_Zodiac_Sign
"Was born 25 1 1992, curious about my sign",get_Zodiac_Sign
"on 25 January 2000 I was born, what's my astrology sign",get_Zodiac_Sign
"I was born on 17 August, what's my zodiac?",get_Zodiac_Sign
"My birthday is 19 July, don't remember the year, what's my sign?",get_Zodiac_Sign
"Born on 2/11, tell me my zodiac sign",get_Zodiac_Sign
My birthday falls on March 30,get_Zodiac_Sign
"I celebrate my birthday on 13 May every year, zodiac?",get_Zodiac_Sign
Birthday: 13 January (forgot the year) — what's my zodiac?,get_Zodiac_Sign
on December 4 is my birthday,get_Zodiac_Sign
I was born in September 1988,get_Zodiac_Sign
"Born sometime in December 1999, what's my zodiac?",get_Zodiac_Sign
My birth month and year are January 1988,get_Zodiac_Sign
"I think I was born in October 2001, not sure of the exact date",get_Zodiac_Sign
My birthday is somewhere in September 2003,get_Zodiac_Sign
I was born in 1992,get_Zodiac_Sign
My birth year is 1988,get_Zodiac_Sign
"born 2003, what's my zodiac sign",get_Zodiac_Sign
1990 is when I was born,get_Zodiac_Sign
I was born on the 11th,get_Zodiac_Sign
My birthday is on the 5th of some month,get_Zodiac_Sign
born on 6th,get_Zodiac_Sign
I was born in February,get_Zodiac_Sign
My birthday is sometime in November,get_Zodiac_Sign
born in the month of April,get_Zodiac_Sign
What's the zodiac sign of someone born on 25 February 2005?,get_Zodiac_Sign
Can you tell me my friend's zodiac sign? He was born 15 October 2005,get_Zodiac_Sign
"My sister was born on 3 October 1990, what's her zodiac?",get_Zodiac_Sign
What zodiac sign is my son who was born 27 November 2005?,get_Zodiac_Sign
Find the zodiac sign for a baby born on 4 September 1999,get_Zodiac_Sign
"My partner's birthday is 17 April 2007, what's their sign?",get_Zodiac_Sign
What's the zodiac sign of someone born on 21 April 1997?,get_Zodiac_Sign
Can you tell me my friend's zodiac sign? He was born 25 March 2007,get_Zodiac_Sign
"My sister was born on 19 August 1999, what's her zodiac?",get_Zodiac_Sign
What zodiac sign is my son who was born 5 January 2001?,get_Zodiac_Sign
Find the zodiac sign for a baby born on 6 October 1990,get_Zodiac_Sign
"My partner's birthday is 5 September 1995, what's their sign?",get_Zodiac_Sign
What's the zodiac sign of someone born on 31 May 1992?,get_Zodiac_Sign
Can you tell me my friend's zodiac sign? He was born 23 February 1995,get_Zodiac_Sign
"My sister was born on 23 May 1992, what's her zodiac?",get_Zodiac_Sign
What zodiac sign is my son who was born 29 September 2010?,get_Zodiac_Sign
Find the zodiac sign for a baby born on 19 October 2007,get_Zodiac_Sign
"My partner's birthday is 31 January 2007, what's their sign?",get_Zodiac_Sign
"yo I was born on 2 May 2007, what's my sign",get_Zodiac_Sign
"hey so my bday is 7 March 1997, zodiac pls",get_Zodiac_Sign
born 7 February 2010 lol what sign is that,get_Zodiac_Sign
"mera birthday 2 March 1997 hai, mera rashi kya hoga",get_Zodiac_Sign
"so like, 19 October 1995 — what zodiac does that make me",get_Zodiac_Sign
"quick one: 21 April 2007, what's the zodiac sign?",get_Zodiac_Sign
not sure why I need this but 17 September 2001 — zodiac?,get_Zodiac_Sign
for the record I was born 17 January 1990,get_Zodiac_Sign
"note: birthday is 27 May 1988, tell me the sign",get_Zodiac_Sign
"psst, 1 June 1992 is my dob, zodiac please",get_Zodiac_Sign
"yo I was born on 17 March 2010, what's my sign",get_Zodiac_Sign
"hey so my bday is 29 September 2010, zodiac pls",get_Zodiac_Sign
born 27 September 1988 lol what sign is that,get_Zodiac_Sign
"mera birthday 7 February 2010 hai, mera rashi kya hoga",get_Zodiac_Sign
"so like, 9 September 1988 — what zodiac does that make me",get_Zodiac_Sign
"quick one: 23 October 2003, what's the zodiac sign?",get_Zodiac_Sign
